pid,project_name,ministry,cohort,design_clarity_0_4,evidence_readiness_0_4,design_score_0_100,evidence_score_0_100,review_readiness_score_0_100,confidence_0_1,status,status_ja,finding
2826,基礎年金給付に必要な経費,厚生労働省,社会保障・直接給付,3,1,75,25,50,0.93,EVIDENCE_MISSING,証拠不足,所得喪失への給付経路は明確だが、受給実績や生活安定効果の数値が示されていない。
2265,医療保険給付費国庫負担金等,厚生労働省,社会保障・直接給付,3,2,75,50,62.5,0.91,NEEDS_ADDITIONAL_EVIDENCE,追加証拠が必要,対象制度と国庫負担の関係は明確だが、負担による制度運営改善の実績検証が不足している。
2711,保護費負担金,厚生労働省,社会保障・直接給付,3,1,75,25,50,0.94,EVIDENCE_MISSING,証拠不足,困窮者への保護と自立助長の目的は明確だが、給付実績や自立効果の指標がない。
6486,子どものための教育・保育給付に必要な経費,こども家庭庁,社会保障・直接給付,3,2,75,50,62.5,0.90,NEEDS_ADDITIONAL_EVIDENCE,追加証拠が必要,子育て支援と給付・人員配置の関係は具体的だが、待機児童や保育の質の成果実績が不足している。
6534,大学等における修学支援に必要な経費,こども家庭庁,社会保障・直接給付,4,3,100,75,87.5,0.95,READY_FOR_REVIEW,レビュー可能,低所得層等への支援経路が明確で35万人の実績もあるが、進学率差への因果検証がない。
4448,防災・安全交付金,国土交通省,インフラ・レジリエンス,4,1,100,25,62.5,0.86,EVIDENCE_MISSING,証拠不足,整備計画から安全確保への経路と成果指標の設定は明確だが、指標の基準値・実績が示されていない。
4032,道路事業(直轄・改築等),国土交通省,インフラ・レジリエンス,4,3,100,75,87.5,0.94,READY_FOR_REVIEW,レビュー可能,道路整備と速達性・地域連携の関係が明確で、整備率や開通実績もあるが比較検証はない。
4052,河川改修事業,国土交通省,インフラ・レジリエンス,4,2,100,50,75,0.93,NEEDS_ADDITIONAL_EVIDENCE,追加証拠が必要,堤防整備の遅れと洪水対策の経路は明確だが、改修後の被害減少実績が示されていない。
4220,港湾整備事業,国土交通省,インフラ・レジリエンス,4,2,100,50,75,0.92,NEEDS_ADDITIONAL_EVIDENCE,追加証拠が必要,海上輸送依存と港湾整備の必要性は明確で99.6％の背景統計もあるが、整備効果の実績がない。
4562,河川等災害復旧事業,国土交通省,インフラ・レジリエンス,3,1,75,25,50,0.95,EVIDENCE_MISSING,証拠不足,被災施設の復旧と再度災害防止の目的は明確だが、復旧期間や被害減少の実績がない。
19958,先端半導体の国内生産拠点の確保,経済産業省,供給力・産業・研究開発,3,2,75,50,62.5,0.90,NEEDS_ADDITIONAL_EVIDENCE,追加証拠が必要,供給途絶リスクから国内拠点整備への経路は明確だが、生産能力への効果実績や比較検証がない。
7116,蓄電池の製造サプライチェーン強靱化支援事業費,経済産業省,供給力・産業・研究開発,4,2,100,50,75,0.95,NEEDS_ADDITIONAL_EVIDENCE,追加証拠が必要,国内製造基盤150GWhという定量目標と設備・技術支援の関係は明確だが、達成実績や効果検証がない。
3649,中小企業生産性革命推進事業,経済産業省,供給力・産業・研究開発,3,2,75,50,62.5,0.90,NEEDS_ADDITIONAL_EVIDENCE,追加証拠が必要,中小企業の課題と投資・DX等の支援策は具体的だが、生産性や賃上げへの実績検証が不足している。
3522,ポスト5G情報通信システム基盤強化研究開発事業(AI基盤モデル及び先端半導体関連技術開発事業),経済産業省,供給力・産業・研究開発,3,2,75,50,62.5,0.90,NEEDS_ADDITIONAL_EVIDENCE,追加証拠が必要,市場シェア低迷に対する研究開発と製造基盤強化の方向は明確だが、技術成果や市場効果の実績がない。
3730,燃料油価格激変緩和対策事業,経済産業省,供給力・産業・研究開発,3,1,75,25,50,0.95,EVIDENCE_MISSING,証拠不足,定額引下げから小売価格抑制への経路と金額は明確だが、実際の価格低下効果を示す証拠がない。
1548,義務教育費国庫負担金に必要な経費,文部科学省,人的資本・知識・文化,3,2,75,50,62.5,0.90,NEEDS_ADDITIONAL_EVIDENCE,追加証拠が必要,国の給与負担による教職員確保と機会均等の目的は明確だが、教育成果や追加効果の検証がない。
1586,国立大学法人の運営に必要な経費,文部科学省,人的資本・知識・文化,3,2,75,50,62.5,0.90,NEEDS_ADDITIONAL_EVIDENCE,追加証拠が必要,法人運営の安定化と教育研究の充実は示されるが、共通指標の実績や交付金の効果が不足している。
1644,科学研究費助成事業,文部科学省,人的資本・知識・文化,4,3,100,75,87.5,0.95,READY_FOR_REVIEW,レビュー可能,研究力低下の統計と科研費から研究成果への経路、件数目標があるが、反実仮想比較はない。
1818,国宝・重要文化財等の保存整備等,文化庁,人的資本・知識・文化,3,2,75,50,62.5,0.90,NEEDS_ADDITIONAL_EVIDENCE,追加証拠が必要,文化財の劣化・災害リスクに対する保存修理等の対応は明確だが、継承や活用の成果実績がない。
1536,高校生等への修学支援,文部科学省,人的資本・知識・文化,3,2,75,50,62.5,0.95,NEEDS_ADDITIONAL_EVIDENCE,追加証拠が必要,所得層別の支援対象・金額と教育費負担軽減の目的は明確だが、中退減少等の実績検証がない。
7463,断熱窓への改修促進等による住宅の省エネ・省CO2加速化支援事業(経済産業省・国土交通省連携事業),環境省,安全保障・外交・環境・デジタル,4,3,100,75,87.5,0.97,READY_FOR_REVIEW,レビュー可能,家庭の断熱改修から省エネ・CO2削減への経路と住宅数等の課題は明確だが、補助による効果の比較検証が不足している。
1097,無償資金協力,外務省,安全保障・外交・環境・デジタル,2,1,50,25,37.5,0.95,EVIDENCE_MISSING,証拠不足,対象分野と資金供与の活動は示されるが、外交・開発上の便益への経路が広く、成果指標や定量評価がない。
5389,米軍再編関係経費,防衛省,安全保障・外交・環境・デジタル,3,1,75,25,50,0.94,EVIDENCE_MISSING,証拠不足,再編措置と抑止力強化・負担軽減の目的は整理されるが、実施実績や効果を示す検証可能な指標がない。
5092,戦闘機(Fー35A/B)の取得,防衛省,安全保障・外交・環境・デジタル,3,1,75,25,50,0.95,EVIDENCE_MISSING,証拠不足,旧式機の代替取得から体制・対処能力維持への関係は明確だが、取得後の能力実績や目標値が示されていない。
4,情報システムの整備(情報通信技術調達等適正・効率化推進費),デジタル庁,安全保障・外交・環境・デジタル,3,2,75,50,62.5,0.96,NEEDS_ADDITIONAL_EVIDENCE,追加証拠が必要,政府システムの重複・非効率に対する監理と共通化の活動は明確だが、効率化の実績・成果指標が不足している。
20629,医療安全の更なる向上・物流DXの推進に資する製品DBの構築事業,厚生労働省,境界・校正事例,3,2,75,50,62.5,0.96,NEEDS_ADDITIONAL_EVIDENCE,追加証拠が必要,製品DBから取り違え防止・物流効率化への経路は明確だが、現段階は要件検討で、効果実績や目標値がない。
21741,建設機械等の自動施工技術の導入,国土交通省,境界・校正事例,3,2,75,50,62.5,0.95,NEEDS_ADDITIONAL_EVIDENCE,追加証拠が必要,担い手不足に対し自動施工の基準整備を進める設計は明確だが、生産性向上や導入効果の実績が示されていない。
